index,hengsheng,production_ratio,expectation,interest,investment,property,delivery,M1
100.4583333,4905.53875,97.5864604,88.38808784,2.093148115,14951.98292,13489.35375,255963.375,176461.0954
101.0625,5093.250417,97.6177104,87.88910825,2.229220536,15345.96583,13793.20125,259070.0417,180474.035
101.7416667,5346.714167,97.6764604,87.61792369,2.333316369,15667.38958,14432.15625,262475.9583,184849.7829
102.3875,5584.26375,97.73604373,87.6721606,2.392624603,15986.61458,14982.48917,264669.5417,189428.7517
102.9791667,5795.479167,97.74591997,87.94696096,2.415130357,16217.07917,15113.61625,267813.75,194412.2233
103.5458333,6007.119583,97.71246287,88.27599823,2.405857639,16331.1725,15289.74875,272329.5,199516.8896
104.05,6222.022083,97.73329621,88.77497782,2.384014385,16533.7375,15719.78792,276427.2083,204141.6458
104.425,6407.568333,97.79454621,89.36796806,2.355785615,16822.16292,16293.92042,281028.1667,208664.6871
104.6583333,6519.4925,97.82912954,89.91395297,2.307245139,17139.13375,16878.92875,285148.0417,213255.0408
104.7583333,6572.525833,97.84996287,90.51779059,2.227626687,17567.82458,17521.53917,288481.9167,217501.4638
104.7625,6602.374583,97.86662954,91.10716504,2.159276389,17988.50208,17964.41542,291584.7917,221343.8242
104.6666667,6628.29375,97.89579621,91.59168145,2.110541369,18324.49875,18284.0975,294594.4583,225040.5163
104.4875,6676.191667,97.92954621,91.88817657,2.051075198,18689.44625,18618.85667,297665.2917,228626.3317
104.2375,6727.990417,97.93162954,92.02557675,1.995898909,19057.50417,18973.985,301047.2083,232288.0479
103.95,6759.599583,97.90912954,92.08342946,1.92864871,19447.94917,19034.59958,304982.2083,236150.3208
103.6458333,6774.755833,97.87787954,91.96410825,1.815616766,19892.28917,19010.42292,308270.8333,239987.9396
103.3125,6811.882917,97.90193894,91.67484472,1.683540674,20211.53521,19204.33583,310823.4167,243210.9296
102.9541667,6863.41125,97.98558168,91.33134428,1.585881448,20396.12396,19387.87083,313804.8333,246006.3288
102.6208333,6904.934583,98.02724835,91.1939441,1.517323611,20706.83917,19623.68917,317085.8333,248996.7913
102.3583333,6951.437917,98.02724835,91.25902839,1.45285377,21187.81208,19914.68375,320486.5417,251901.5704
